broad_id,BDB Target,DC Target,DRH Target,TTD Target,Merged Target
BRD-K09295674,"CA7, CA5B, CA1, CA5A, CA9, CA2, CA14, CA12, TPMT, CA3",,"CA1, CA12, CA14, CA2, CA6, CA9",,"CA7, CA9, CA2, CA5B, CA1, CA5A, CA12, CA6, CA14, CA3, TPMT"
BRD-K12413266,,,,,
BRD-A25043798,,,CDC42,,CDC42
BRD-K00002625,,,,,
BRD-K20897876,,,"GAA, GBA",,"GAA, GBA"
BRD-K92377961,"BCHE, TRPV1",,,,"BCHE, TRPV1"
BRD-K40269473,"CTSK, CTSL, CTSV, CTSB, CTSS",,"CTSB, CTSL, CTSV",,"CTSK, CTSL, CTSV, CTSB, CTSS"
BRD-K40366680,,,PIK3CG,,PIK3CG
BRD-K41779183,,AR,AR,,AR
BRD-K59929863,,,,,
BRD-K49048664,PRKDC,,VCP,"VCP, PRKDC","VCP, PRKDC"
BRD-K58070273,GLS,,GLS,,GLS
BRD-K34675210,,,GRM2,,GRM2
BRD-K00003273,,,,,
BRD-K91874254,,,ALOX5,,ALOX5
BRD-K16755045,"PRKDC, MTOR, PIK3CA, KCNH2, PDE3A",,MTOR,"PRKDC, MTOR, MTOR-RPTORA-MLST8-KT1S1-DEPTOR, PIK3CA, KCNH2, CSF1R, ATM","PRKDC, MTOR, ATM, MTOR-RPTORA-MLST8-KT1S1-DEPTOR, PIK3CA, KCNH2, CSF1R, PDE3A"
BRD-K88737571,"MTOR, PIK3C3, PIK3CA, FLT4, KCNH2, PIK3CD, PIK3CG, PIK3CB",,MTOR,,"MTOR, PIK3C3, PIK3CA, FLT4, KCNH2, PIK3CD, PIK3CG, PIK3CB"
BRD-K00004320,,,MAPK8,MELK,"MAPK8, MELK"
BRD-K00003116,MAPK3,,,,MAPK3
BRD-K48213016,"MAPK8, MAPK10, MAPK14, MAPK9, MAPK3, EGFR",,,,"MAPK8, MAPK10, MAPK14, MAPK9, MAPK3, EGFR"
BRD-A79726147,,,"RHOC, SRF",,"RHOC, SRF"
BRD-K08893438,"RGS19, RGS16, RGS8",,"RGS4, RGS8",,"RGS4, RGS8, RGS16, RGS19"
BRD-K26970495,,,RGS4,,RGS4
BRD-K68474505,,,RGS4,,RGS4
BRD-K16338837,,,CHRNA7,,CHRNA7
BRD-K06159959,,,,,
BRD-K90999434,,,CTNNB1,,CTNNB1
BRD-K65503129,HSP90AB1,,"HSP90AA1, HSP90AB1",HSP90AA1,"HSP90AB1, HSP90AA1"
BRD-K76406695,"ROCK2, CYP2C19, CYP2E1, GSK3B, CYP2C9, RPS6KB1, CYP3A4",,,,"ROCK2, CYP2C19, CYP2E1, GSK3B, CYP2C9, RPS6KB1, CYP3A4"
BRD-K57136142,"AURKC, AURKB, AURKA, CYP2C19, CYP2C9, CYP3A4",,"AURKA, AURKB, AURKC",,"AURKC, AURKB, AURKA, CYP2C19, CYP2C9, CYP3A4"
BRD-K03289018,"FLT3, AURKA, KCNH2",,"AURKA, AURKB, AURKC",,"AURKC, AURKB, AURKA, FLT3, KCNH2"
BRD-K00005244,BRAF,,,,BRAF
BRD-K00003276,CHEK1,,,,CHEK1
BRD-K17751100,,,CHRNB2,,CHRNB2
BRD-K09619322,,,RARG,,RARG
BRD-K28907958,"RARA, RARG, RARB",,RARG,,"RARA, RARG, RARB"
BRD-A08079565,,,,,
BRD-K87932577,"EIF2AK2, CDK4, CDK1, GSK3B, CDK5R1, CDK2, CCNH, CCNT1",,"CDK1, CDK5, GSK3B","EIF2AK2, CDK9-CCNT1, GSK3B","EIF2AK2, CDK4, CDK1, CDK9-CCNT1, GSK3B, CDK5R1, CDK2, CCNH, CDK5, CCNT1"
BRD-K43914553,,,CDK9,,CDK9
BRD-K02213468,GRM5,,GRM5,,GRM5
BRD-K48141473,"OPRL1, OPRM1",,"OPRL1, OPRM1",,"OPRL1, OPRM1"
BRD-K86930074,"BMPR2, CHEK1, LIMK1, COQ8A, HIPK3, MAPK8, TRPM6, PLK4, NUAK1, CDK14, ABL2, EPHB6, YES1, KDR, CSNK1G2, CDK7, CSNK1G1, HUNK, CASK, CDK19, MYLK4, EGFR, PIM3, CILK1, CHEK2, COQ8B, EPHA3, BMP2K, TLK1, GAK, PRKCD, SRPK3, MAPK3, HCK, MYO3A, DAPK1, NUAK2, NEK5, MAST1, EPHA8, TYRO3, LOC102724428, ABL1, ERN1, RPS6KB1, BMX, TNK1, DYRK1A, EPHA2, FGFR3, MAPK12, CAMK1G, BRSK1, IKBKE, STK39, PRKACA, CAMK1D, MAP3K20, RPS6KA1, STK24, DYRK2, SRMS, CDK5, STK26, WEE2, MAPKAPK5, FRK, CDK8, MAPK11, PAK5, FGFR1, IKBKB, MAPK14, ITK, ERBB3, RPS6KA6, CDC42BPB, EIF2AK2, JAK3, AURKA, BRAF, LTK, STK36, DSTYK, PRKCQ, RET, SNRK, JAK1, MYLK3, PIK3CA, LRRK2, PRKD1, PIP4K2B, BUB1B-PAK6, PAK4, TTK, MAP3K1, PLK3, MAP3K15, ULK1, ACVR2A, CSNK2A1, NEK7, MAPKAPK2, SLK, PIM2, MARK2, AAK1, EIF2AK4, PDGFRB, TAOK3, CSNK1G3, CAMK2B, ACVR2B, MAPK10, TGFBR2, TYK2, MAP3K2, CSNK1A1, TESK1, MAP3K4, CDK2, STK10, CDKL5, MYLK, PHKG2, MAP3K19, TEC, MAP4K1, MAP4K3, RPS6KA3, NEK9, MAPK9, CAMK4, RIOK2, NEK3, DMPK, SRPK1, INSRR, OXSR1, DAPK3, HIPK2, RPS6KA4, ULK3, PLK2, CDK11A, DCLK3, MTOR, PIK3C2G, MAP2K3, NLK, STK17A, MET, MAPK13, EPHA6, MAP3K6, MYLK2, CDKL3, PIP5K1C, LATS2, EPHA5, SYK, MAP2K2, PRKCE, CDK17, SRPK2, INSR, ERBB4, ROCK2, CAMKK1, EPHB4, MERTK, PIK3CD, IGF1R, PRKCH, MAP3K10, SBK3, MAPK6, GRK1, CSNK1A1L, AURKC, STK32A, LATS1, MAP3K13, GRK7, CSNK2A2, MAP4K4, LIMK2, STK38L, PKN2, IRAK4, HIPK4, MAP3K7, MAK, CIT, FGFR2, TNK2, TSSK1B, MAP2K4, DAPK2, CLK4, BTK, PLK1, MATK, MUSK, ULK2, PTK6, MAP3K12, CHUK, CDK13, MKNK1, VRK2, RAF1, ZAP70, MKNK2, BLK, MAP3K11, CLK1, JAK2, PIP4K2C, FLT1, TIE1, MAPK15, MAP2K5, PRKD2, BRSK2, PTK2, GSK3B, SBK1, AKT3, TEK, PHKG1, PDGFRA, TAOK1, CAMK1, CLK2, STK35, STK25, RIOK1, CDK15, EIF2AK1, EPHB1, NEK4, STK3, STK32B, DDR1, ROCK1, EPHB2, MINK1, RIOK3, ALK, PIK3C2B, STK32C, PRKACB, MAP2K6, WEE1, CDK4, PKN1, FLT3, PIP5K1A, PRKD3, CDK11B, TNNI3K, MYO3B, MAPK1, ACVR1, IRAK3, CAMK2A, TLK2, MAP2K1, LYN, CDC42BPG, PIK3CG, DCLK2, STK11, ANKK1, PDPK1, C8orf44-SGK3, PKMYT1, CAMKK2, EPHA4, FLT4, NIM1K, DCLK1, MARK4, GSK3A, CSK, ACVR1B, NEK11, PRKG2, CDC42BPA, DDR2, PIK3CB, AURKB, STK38, STK33, HIPK1, GRK4, NEK6, EPHB3, PRKG1, MAPK4, MAP3K3, PRKX, RPS6KA5, CDK9, RPS6KA2",,"CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB","FLT4, FLT1, KDR","BMPR2, CHEK1, LIMK1, COQ8A, HIPK3, MAPK8, TRPM6, PLK4, NUAK1, CDK14, ABL2, EPHB6, YES1, KDR, CSNK1G2, CDK7, CSNK1G1, HUNK, CASK, CDK19, MYLK4, EGFR, PIM3, CILK1, CHEK2, COQ8B, EPHA3, BMP2K, TLK1, GAK, PRKCD, SRPK3, MAPK3, HCK, MYO3A, DAPK1, NUAK2, NEK5, MAST1, EPHA8, TYRO3, LOC102724428, ABL1, ERN1, RPS6KB1, BMX, TNK1, DYRK1A, EPHA2, FGFR3, MAPK12, CAMK1G, BRSK1, IKBKE, STK39, PRKACA, CAMK1D, MAP3K20, RPS6KA1, STK24, DYRK2, SRMS, CDK5, STK26, WEE2, MAPKAPK5, FRK, CDK8, MAPK11, PAK5, FGFR1, IKBKB, MAPK14, ITK, ERBB3, RPS6KA6, CDC42BPB, EIF2AK2, JAK3, AURKA, BRAF, LTK, STK36, DSTYK, PRKCQ, RET, SNRK, JAK1, MYLK3, PIK3CA, LRRK2, PRKD1, PIP4K2B, BUB1B-PAK6, PAK4, TTK, MAP3K1, PLK3, MAP3K15, ULK1, ACVR2A, CSNK2A1, NEK7, MAPKAPK2, SLK, PIM2, MARK2, AAK1, PDGFRB, EIF2AK4, TAOK3, CSNK1G3, CAMK2B, ACVR2B, MAPK10, TGFBR2, TYK2, MAP3K2, CSNK1A1, TESK1, MAP3K4, CDK2, STK10, CDKL5, MYLK, PHKG2, MAP3K19, TEC, MAP4K1, MAP4K3, RPS6KA3, NEK9, MAPK9, CAMK4, RIOK2, NEK3, DMPK, SRPK1, INSRR, OXSR1, DAPK3, HIPK2, RPS6KA4, ULK3, PLK2, CDK11A, DCLK3, MTOR, PIK3C2G, MAP2K3, NLK, STK17A, KIT, MET, MAPK13, EPHA6, MAP3K6, MYLK2, CDKL3, PIP5K1C, LATS2, EPHA5, SYK, MAP2K2, PRKCE, CDK17, CSF1R, SRPK2, INSR, ERBB4, ROCK2, CAMKK1, EPHB4, MERTK, PIK3CD, IGF1R, PRKCH, MAP3K10, SBK3, MAPK6, GRK1, CSNK1A1L, AURKC, STK32A, LATS1, MAP3K13, GRK7, CSNK2A2, MAP4K4, LIMK2, STK38L, PKN2, IRAK4, HIPK4, MAP3K7, MAK, CIT, FGFR2, TNK2, TSSK1B, MAP2K4, DAPK2, CLK4, BTK, PLK1, MATK, MUSK, ULK2, PTK6, MAP3K12, CHUK, CDK13, MKNK1, VRK2, RAF1, ZAP70, MKNK2, BLK, MAP3K11, CLK1, JAK2, PIP4K2C, FLT1, TIE1, MAPK15, MAP2K5, PRKD2, BRSK2, PTK2, GSK3B, SBK1, AKT3, TEK, PHKG1, PDGFRA, TAOK1, CAMK1, CLK2, STK35, STK25, RIOK1, CDK15, EIF2AK1, EPHB1, NEK4, STK3, STK32B, DDR1, ROCK1, EPHB2, MINK1, RIOK3, ALK, PIK3C2B, STK32C, PRKACB, MAP2K6, WEE1, CDK4, PKN1, FLT3, PIP5K1A, PRKD3, CDK11B, TNNI3K, MYO3B, MAPK1, ACVR1, IRAK3, CAMK2A, TLK2, MAP2K1, LYN, CDC42BPG, PIK3CG, DCLK2, STK11, ANKK1, PDPK1, C8orf44-SGK3, PKMYT1, CAMKK2, EPHA4, FLT4, NIM1K, DCLK1, MARK4, GSK3A, CSK, ACVR1B, NEK11, PRKG2, CDC42BPA, DDR2, PIK3CB, AURKB, STK38, STK33, HIPK1, GRK4, NEK6, EPHB3, PRKG1, MAPK4, MAP3K3, PRKX, RPS6KA5, CDK9, RPS6KA2"
BRD-A61188230,,,,,
BRD-K96362839,,,,,
BRD-K20338176,"SLC15A2, SLC15A1, ABCC3, SLC22A8, CTDSP1, ABCC4",,,"ABCB11, SLC15A2, SLC15A1, ABCC2, SLC22A8, ABCC4","ABCB11, SLC15A2, SLC15A1, ABCC3, ABCC2, SLC22A8, CTDSP1, ABCC4"
BRD-K63242551,"SLC15A2, SLC15A1, ABCC3, SLC22A8, SLC22A6, ABCC4",SLC15A1,"SLC15A1, SLC15A2, SLC22A6, SLC22A8",,"SLC15A2, SLC15A1, ABCC3, SLC22A8, SLC22A6, ABCC4"
BRD-K15514357,,,,,
BRD-K27130738,"SLC15A2, SLC15A1, SLC22A7, SLC22A11, SLC22A8, SLC22A6",SLC15A1,,,"SLC15A2, SLC15A1, SLC22A7, SLC22A11, SLC22A8, SLC22A6"
BRD-K17903788,,,,,
BRD-K63835048,,,,,
BRD-K99750640,"SLC22A11, SLC15A1, SLC22A8, SLC22A6",,PON1,,"SLC15A1, SLC22A11, SLC22A8, SLC22A6, PON1"
BRD-K27515606,,,,,
BRD-K15766189,"ABCC4, ABCC3",,MPO,,"MPO, ABCC4, ABCC3"
BRD-K72167406,,,,,
BRD-A12077521,,,,,
BRD-K27798832,,,,,
BRD-K21372554,,,,,
BRD-K00003257,,,,,
BRD-K71059170,"SLC15A2, SLC15A1, ABCC3, PSIP1, APAF1, PLCB3, ABCC4","DRD2, PLCG1",,"ABCB11, SLC15A2, SLC15A1, ABCC2, ABCC4","ABCB11, SLC15A2, SLC15A1, ABCC3, PLCG1, PSIP1, ABCC2, APAF1, PLCB3, DRD2, ABCC4"
BRD-K00003661,,,,,
BRD-K48470486,"IDE, SLC15A2, SLC15A1",IDE,,"IDE, SLC15A2, SLC15A1","IDE, SLC15A2, SLC15A1"
BRD-K77073709,,,,,
BRD-K22641081,"SLC15A2, SLC15A1",,,,"SLC15A2, SLC15A1"
BRD-K34058848,,"SSTR4, PTGS2, MMP9",,,"SSTR4, PTGS2, MMP9"
BRD-K02292852,"SLC22A11, SLC22A8, SLC22A7, SLC22A6",,,,"SLC22A7, SLC22A11, SLC22A8, SLC22A6"
BRD-K37848908,,,,,
BRD-K72339976,,,,,
BRD-K78364995,,,,,
BRD-A78723049,"APOBEC3A_B, APOBEC3G, ABCC4, ABCC3","PTGS2, MMP9, MMP2, MMP1, COMT",,,"PTGS2, APOBEC3G, ABCC3, MMP9, MMP2, APOBEC3A_B, MMP1, ABCC4, COMT"
BRD-K02275692,,"VIPR1, MMP9",,,"VIPR1, MMP9"
BRD-A76661185,,,,,
BRD-K70976396,SLC15A1,,,,SLC15A1
BRD-K46970505,,,,,
BRD-K92872987,,,,,
BRD-K56542719,,,,,
BRD-A34205213,,,,,
BRD-K24871708,,,,,
BRD-K13797099,"SLC15A1, SLC22A6","SSTR4, MMP9",CYP3A4,,"SSTR4, SLC15A1, MMP9, SLC22A6, CYP3A4"
BRD-K03907181,,,,,
BRD-K37252028,,,,,
BRD-K52117081,,,,,
BRD-K11124378,"SLC15A2, SLC15A1",,,,"SLC15A2, SLC15A1"
BRD-K82960980,,,,,
BRD-K04301924,"CA2, CA1",,,,"CA1, CA2"
BRD-K00003117,,,,,
BRD-K96734425,"SLC15A1, ABCC3, CYP2C19, CACNA1C, CYP2C9, DAO, SLC22A11, SLC22A8, CA1, SLC22A6, CA2, ABCC4, CYP3A4",DAO,,"SLC15A1, CYP2D6, CYP2C9, DAO, CYP3A4","SLC15A1, ABCC3, CYP2D6, CYP2C19, CA2, CACNA1C, CYP2C9, DAO, SLC22A11, SLC22A8, SLC22A6, CA1, ABCC4, CYP3A4"
BRD-K02733959,"SLC15A2, SLC15A1","MMP2, CA2, MMP9",,,"SLC15A2, SLC15A1, MMP9, MMP2, CA2"
BRD-A22303829,,,,,
BRD-K02637541,"PTGS2, CA5B, CA12, CA14, CA4, PTGES, CA5A, CA9, CA3, ABCC3, COX2, MAPK14, HDAC1, PDPK1, CA1, ALOX5, PDE5A, CDC42, CA7, CYP2C9, HDAC6, CA2, ABCC4","CA13, PTGS2, ADRB3, DRD1, ADORA3, CA5B, PTGS1, CA12, CA14, PDE4A, CA4, SLC6A2, MT-CO2, CYP2D6, SLC6A3, PTGES, CA5A, CA9, CA6, CA3, MAPK14, ADRA2B, HDAC1, PDPK1, CA1, PDE5A, CA7, HDAC6, SLC6A4, CA2","CA12, PDPK1, PTGS2","PTGS2, EPHX2, Stap-coc norA, ABCC2, PTGS1, CA12, CA14, CA4, Trypano CYSP, PTGES, CA9, CA6, MAPK14, HDAC1, PDPK1, PTGS1; PTGS2, CA1, ALOX5, ABCB11, CA7, CYP2C9, HDAC6, CA2, ABCC4","CA13, PTGS2, ADRB3, EPHX2, DRD1, CA5B, ADORA3, Stap-coc norA, ABCC2, PTGS1, CA12, CA14, PDE4A, CA4, SLC6A2, MT-CO2, CYP2D6, Trypano CYSP, SLC6A3, PTGES, CA5A, CA9, CA6, CA3, ABCC3, COX2, MAPK14, ADRA2B, HDAC1, PDPK1, PTGS1; PTGS2, CA1, ALOX5, ABCB11, PDE5A, CDC42, CA7, CYP2C9, HDAC6, SLC6A4, CA2, ABCC4"
BRD-K00003204,,,,,
BRD-A95602221,,,"ADRA2A, ADRB1, ADRB2",,"ADRB2, ADRA2A, ADRB1"
BRD-K00003248,,,,,
BRD-K00003181,CCR7,,,"CCR5, CCR2, CCR7","CCR5, CCR2, CCR7"
BRD-K00003249,,"GABRA6, GABRA4",,,"GABRA4, GABRA6"
BRD-K00004588,,,,,
BRD-K31329721,,,,,
BRD-K00004619,,,,,
BRD-A28958257,,,,,
BRD-K20722021,"RET, MAPK1, KDR, PDGFRB, JAK1, PLK1, PIK3CA, MAPK3, MAP2K2, EPHA2, CYP2C19, MAP2K1, EGFR, INSR, RAF1, PIK3CB, ALK, IGFLR1, CYP3A4, MET, JAK3, JAK2, AURKA, BRAF, ABL1, CYP2C9",,"BRAF, RAF1","SMO, CYP2D6, BRAF, CYP2C9, CYP3A4","RET, MAPK1, KDR, PDGFRB, JAK1, PLK1, PIK3CA, MAPK3, MAP2K2, EPHA2, CYP2D6, CYP2C19, MAP2K1, EGFR, INSR, RAF1, PIK3CB, ALK, SMO, IGFLR1, CYP3A4, MET, JAK3, JAK2, AURKA, BRAF, ABL1, CYP2C9"
BRD-K37237504,"JAK3, JAK2, PTK2, JAK1, CYP3A4",,JAK2,,"JAK3, JAK2, PTK2, JAK1, CYP3A4"
BRD-K72827473,"ALK, PTK2, CYP2C19, CYP2C9, INSR, CYP3A4",,ALK,"ALK, PTK2, CYP2D6, CYP2C9, KCNH2, INSR, CYP3A4","ALK, PTK2, CYP2D6, CYP2C19, CYP2C9, KCNH2, INSR, CYP3A4"
BRD-K00003396,MET,,,,MET
BRD-K90733503,"SLC15A2, SLC15A1",SLC15A2,,,"SLC15A2, SLC15A1"
BRD-K68904758,,,,,
BRD-K00025564,,,,,
BRD-K28210218,"SLC15A2, SLC15A1, SLC22A7, SLC22A11, SLC22A8, CTDSP1, SLC22A6","SSTR4, PTGS2, PTPN7, MMP9, SLC22A11, SLC22A8",,,"SSTR4, SLC15A2, SLC15A1, PTGS2, SLC22A7, PTPN7, MMP9, SLC22A11, SLC22A8, CTDSP1, SLC22A6"
BRD-K49880111,SLC15A1,"HTR2B, DRD4, OPRK1, SIGMAR1, OPRD1, DRD2, CNR1, NISCH, OPRM1, ADRA2C, CYP2D6, HTR1A, HRH2, DRD3, CYP3A4, SSTR4, CYP3A5, TACR2, MMP1, TACR1",,SLC15A1,"HTR2B, DRD4, OPRK1, SIGMAR1, OPRD1, DRD2, CNR1, NISCH, OPRM1, ADRA2C, CYP2D6, HTR1A, HRH2, DRD3, CYP3A4, SSTR4, CYP3A5, SLC15A1, TACR2, MMP1, TACR1"
BRD-K96194081,,"NFKB1, PRKAA1",,,"NFKB1, PRKAA1"
BRD-A90807417,,,,,
BRD-K41707108,,,,,
BRD-K22149900,"RET, BTK, JAK1, SYK, ETV6, PDGFRA, EGFR, INSR, ALK, ROCK2, ZAP70, MKNK2, MET, IGF1R, JAK2, JAK3, FLT3, ABL1, TSSK1B","RET, FGR, BTK, KDR, JAK1, SYK, ETV6, FGFR3, SRC, FGFR4, PDGFRA, NTRK1, LYN, ABCB1, EGFR, INSR, ROCK2, MKNK2, ZAP70, ALK, LCK, KIT, FGFR2, MET, JAK3, JAK2, CDK4, IGF1R, FLT3, ABL1, TSSK1B, CDK2, NTRK2, KCNH2, ROS1","ALK, FLT3, IGF1R, INSR, TSSK1B","RET, FGR, PAK2, BTK, KDR, GSK3B, JAK1, SYK, FGFR3, SRC, FGFR4, PDGFRA, NTRK1, LYN, ABCB1, EGFR, INSR, ROCK2, MKNK2, ALK, ZAP70, LCK, KIT, FGFR2, IGF1R, JAK3, CDK4, JAK2, MET, FLT3, ABL1, CDK2, NTRK2, KCNH2, ROS1","RET, FGR, BTK, PAK2, KDR, GSK3B, JAK1, SYK, ETV6, FGFR3, SRC, FGFR4, PDGFRA, NTRK1, LYN, ABCB1, EGFR, INSR, ALK, ROCK2, ZAP70, MKNK2, LCK, KIT, FGFR2, IGF1R, MET, JAK2, JAK3, CDK4, FLT3, TSSK1B, ABL1, CDK2, NTRK2, KCNH2, ROS1"
BRD-K52075040,F13A1,"FASN, F13A1",FASN,"FASN, F13A1","FASN, F13A1"
BRD-K00003320,,CCKAR,CCKAR,,CCKAR
BRD-K86954340,,,PPARA,,PPARA
BRD-K94863486,,PNLIP,PNLIP,,PNLIP
BRD-K01826520,HRH1,,HRH1,,HRH1
BRD-K47079459,"CASP9, APAF1, UBE2N, DNM1",DNM1,,,"UBE2N, DNM1, CASP9, APAF1"
BRD-K76315403,"ABCC4, ABCC3","GNRHR, LHCGR","GNRHR, LHCGR",,"GNRHR, ABCC3, ABCC4, LHCGR"
BRD-K87700323,"PLA2G1B, ATG4B, CASP2",CASP2,,,"PLA2G1B, ATG4B, CASP2"
BRD-K00004291,,,CHRM3,,CHRM3
BRD-K00003570,,,TUBB,,TUBB
BRD-A47940219,RAPGEF4,,RAPGEF3,,"RAPGEF3, RAPGEF4"
BRD-K27040396,,,,,
BRD-K00003409,"CYP2C19, CYP3A4, TTK, CYP2C9",,,,"TTK, CYP2C19, CYP2C9, CYP3A4"
BRD-K64341947,IRAK4,,,,IRAK4
BRD-K42859542,,,,,
BRD-K72004355,,,CFTR,,CFTR
BRD-K52396582,"HTR2B, ADORA2A, HTR2C, ADORA2B, ADORA3, ADORA1, PPARG",,"ADORA1, ADORA2A, ADORA2B, ADORA3","HTR2B, ADORA2A, HTR2C, ADORA2B, ADORA3, ADORA1, HTR2A, PPARD, PPARG","HTR2B, ADORA2A, HTR2C, ADORA2B, ADORA3, ADORA1, HTR2A, PPARD, PPARG"
BRD-K48888725,,,,,
BRD-K82028950,,,"ADORA1, ADORA2B, ADORA3",,"ADORA1, ADORA2B, ADORA3"
BRD-A50737080,,,"ATM, ATR",,"ATM, ATR"
BRD-K79584249,"MDM4, MDM2, MCL1, CYP3A4",,MDM2,,"MDM4, MDM2, MCL1, CYP3A4"
BRD-A40084411,,,"ADRB1, ADRB2, ADRB3",,"ADRB2, ADRB1, ADRB3"
BRD-K95851186,,,GABBR1,,GABBR1
BRD-K01827291,,,"ADRB1, ADRB3",,"ADRB1, ADRB3"
BRD-K00003372,,,,,
BRD-A35623999,,,SLC8A1,,SLC8A1
BRD-A90272038,,,"GRIN2A, GRIN2B, GRIN2C, GRIN2D",,"GRIN2C, GRIN2D, GRIN2A, GRIN2B"
BRD-K00004626,,,,,
BRD-K13087974,"EGFR, APP, ABL1",,EGFR,"SRC, EGFR, APP","APP, SRC, ABL1, EGFR"
BRD-K32292990,"EGFR, ABL1",,"EGFR, PRKCB",,"EGFR, PRKCB, ABL1"
BRD-A74208568,,,"GABBR1, GABBR2, KCTD12, KCTD16, KCTD8",,"GABBR1, GABBR2, KCTD12, KCTD8, KCTD16"
BRD-K00004232,,,"GABBR1, GABBR2, KCTD12, KCTD16, KCTD8",,"GABBR1, GABBR2, KCTD12, KCTD8, KCTD16"
BRD-K42500029,"AURKB, MKNK2, EIF2AK2, SGK1, CDK2, DYRK3, MKNK1, CCNT1, BRSK2",,"AURKB, LCK, MKNK1, MKNK2, SGK1","MKNK2, EIF2AK2, AURKB, CDK9-CCNT1, DYRK3, CSNK1D, MKNK1, SGK1, BRSK2","AURKB, MKNK2, EIF2AK2, MKNK1, CDK9-CCNT1, CDK2, LCK, DYRK3, CSNK1D, SGK1, CCNT1, BRSK2"
BRD-K79090631,"STK33, CDK4, CDK1, MTOR, GSK3B, SMG1, CDK5R1, CDK2, XBP1, CCNH, CCNT1",,"CDK1, CDK2","CDK2, MTOR, CDK9-CCNT1, CDK1","STK33, CDK4, CDK1, MTOR, CDK9-CCNT1, GSK3B, SMG1, CDK2, CDK5R1, XBP1, CCNH, CCNT1"
BRD-K34321528,"NPY2R, NPY1R",,NPY5R,,"NPY2R, NPY5R, NPY1R"
BRD-K56239177,"EIF2AK2, CLK4, PRKCA, CLK1, CDK4, CDK1, CDK6, CLK2, PRKACA, PDGFRA, CDK5R1, CDK2, CCNH, EGFR, CCNT1",,CDK1,"EIF2AK2, CLK4, CLK1, PRKCA, CDK1, CLK2, PDGFRA, CDK9-CCNT1, CLK3, EGFR","EIF2AK2, CLK4, PRKCA, CLK1, CDK4, CDK1, CDK6, CLK2, PRKACA, PDGFRA, CDK9-CCNT1, CDK5R1, CLK3, CDK2, CCNH, EGFR, CCNT1"
BRD-K60946979,,,,,
BRD-K65786282,GABBR1,,GABBR1,,GABBR1
BRD-K49049886,"ADORA1, ADORA2A, ADORA3, ADORA2B",,"ADORA1, ADORA2A, ADORA2B, ADORA3",,"ADORA2A, ADORA2B, ADORA3, ADORA1"
BRD-K68103045,"GABRA4, GABRA1",,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6",,"GABRA2, GABRA4, GABRA6, GABRA1, GABRA5, GABRA3"
BRD-K27176996,"ADORA1, ADORA2A, ADORA3, ADORA2B",,"ADORA1, ADORA2A, ADORA2B, ADORA3",,"ADORA2A, ADORA2B, ADORA3, ADORA1"
BRD-K54093161,"GABRA6, GABRA5, GABRA4, GABRA1",,"GABRA1, GABRB2, GABRG2",,"GABRB2, GABRG2, GABRA4, GABRA6, GABRA1, GABRA5"
BRD-K24820488,,,,,
BRD-K11683436,"KDR, FGFR1, FGFR2, FGFR3",,"FGFR1, FGFR2, FGFR3","KDR, SRC, FGFR3, FGFR4, KCNH2, FGFR1, FGFR2","KDR, FGFR3, SRC, FGFR4, KCNH2, FGFR1, FGFR2"
BRD-K60302405,"GPR35, EGFR, SLC16A3",,SLC16A1,,"SLC16A1, SLC16A3, GPR35, EGFR"
BRD-K18135438,"VDR, GPBAR1, NR1H4","FPR1, GPBAR1, NR1H4","HSD11B1, NR1H4","ABCB11, VDR, GPBAR1, NR1H4","ABCB11, HSD11B1, FPR1, GPBAR1, VDR, NR1H4"
BRD-K34508702,"CYP2C19, APP, CYP3A4, CYP2C9",,PSEN1,"APP, CYP2C9, BACE2; PSENEN; APH1A; APH1B, CYP3A4, APH1A; APH1B; NCSTN; PSENEN; PSEN1","APP, CYP2C19, PSEN1, CYP2C9, BACE2; PSENEN; APH1A; APH1B, CYP3A4, APH1A; APH1B; NCSTN; PSENEN; PSEN1"
BRD-K56483981,,,MIF,,MIF
BRD-K28537285,"HDAC10, HDAC1, HDAC3, HDAC8, HDAC6, HDAC2, NCOR1, KCNH2",,"HDAC10, HDAC3",,"HDAC10, HDAC1, HDAC3, HDAC8, HDAC6, HDAC2, NCOR1, KCNH2"
BRD-K52284881,,,,,
BRD-K02241333,CHEK1,,CHEK1,,CHEK1
BRD-K42973005,"MAPK1, IGF1R, CHEK1, KDR, CDK1, GSK3B, FLT1, GSK3A, FGFR1, INSR, TEK",,"GSK3A, GSK3B","AKT1, MAPK1, IGF1R, CHEK1, KDR, CDK1, FLT1, GSK3B, GSK3A, CSNK1E, FGFR1, INSR, TEK","MAPK1, IGF1R, AKT1, CHEK1, KDR, CDK1, GSK3B, FLT1, GSK3A, CSNK1E, FGFR1, INSR, TEK"
