broad_id,Target
BRD-K43167535,TLR4
BRD-K73383190,EP300
BRD-A05674712,
BRD-K74377520,MGAM
BRD-K64636206,
BRD-K04657451,
BRD-K20879694,
BRD-K00911807,"CCBL1, CRH, HCAR3"
BRD-K71822263,"GLRA1, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, SERPINB3"
BRD-K29066607,
BRD-K00003205,
BRD-K09132007,"CSNK1A1, CSNK1D, TGFB1"
BRD-K26997899,TUBB
BRD-K32372024,
BRD-K01080633,TSPO
BRD-K38168441,F2
BRD-K57041787,F2
BRD-K09951645,"BRAF, LIMK1, NEK11, RAF1, SIK1"
BRD-K35520305,"PGD, POLA2"
BRD-K56957086,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
BRD-K82861010,
BRD-K57169635,"EGFR, ERBB2, ERBB4"
BRD-K70578146,POLR2A
BRD-K42095107,"ESRRA, ESRRB, ESRRG, TRPC5"
BRD-K12979078,ALDH2
BRD-A89196962,OPRM1
BRD-K30177383,PNLIP
BRD-K18849474,CETP
BRD-K22482860,"KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNA7, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNJ13, KCNJ5, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNV1, KCNV2"
BRD-K00003321,
BRD-K26813177,TBXA2R
BRD-K83452553,"KDM2A, KDM7A, PHF8"
BRD-K48970916,"AR, CCL2, ESR1, GNRHR, GNRHR2, PGR"
BRD-K35589454,
BRD-K13769342,CXCR2
BRD-K45916615,
BRD-K08111240,
BRD-K81272440,"RYR1, RYR3"
BRD-K10065684,
BRD-K07881437,"AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, SLK"
BRD-K58160573,"SLC5A1, SLC5A2"
BRD-K00004659,
BRD-K61269089,
BRD-K33133047,"ADRA1A, ADRA1B, ADRA1D"
BRD-K12885236,"CYP3A4, CYP3A5"
BRD-K51579475,"HTR1A, HTR1B, HTR2C, SLC6A4"
BRD-K06455935,EGLN1
BRD-K62363391,DHFR
BRD-K47177710,
BRD-K00003611,
BRD-K19085898,PLA2G7
BRD-K82908348,PPARG
BRD-K95773607,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
BRD-A44971162,AR
BRD-K84986517,CYP3A4
BRD-K54863166,EDNRA
BRD-K02943813,
BRD-K49328571,"ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1"
BRD-K00003142,
BRD-K31633810,CHRM3
BRD-K14276241,
BRD-K43389675,"TOP2A, TOP2B"
BRD-K20738689,TBXAS1
BRD-K82767007,TBXAS1
BRD-K59204667,CASP3
BRD-K00004704,
BRD-K83020231,DPP4
BRD-K10596918,FFAR1
BRD-K49246350,"KIT, PDGFRA"
BRD-K89299012,"KCNN2, KCNN3, KCNN4"
BRD-K00005344,
BRD-A39255369,SLC1A2
BRD-K61845293,"DDR1, DDR2"
BRD-K00004562,
BRD-K00003157,
BRD-K80419150,SLC6A2
BRD-K49783248,"ACHE, CHRNA2"
BRD-A56320380,
BRD-A95300432,JAK3
BRD-K79254416,"DNMT1, DNMT3A"
BRD-K00004661,
BRD-K00003318,
BRD-K17641316,
BRD-K43578482,PTK2
BRD-K97010173,CYP3A4
BRD-K00003219,
BRD-K06878038,UGT1A6
BRD-K09821361,
BRD-K30468934,NR3C1
BRD-K62304154,MTOR
BRD-K00003578,GNRHR
BRD-K00025573,
BRD-A64125466,
BRD-K90976994,
BRD-K67186445,ACHE
BRD-K41256143,"ESR1, ESR2, G6PD, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, HSD17B1, NR1I2, NR1I3, PPARA, SIGMAR1, SULT2A1, SULT2B1"
BRD-K15360631,"AR, ESR1, ESR2"
BRD-K90991629,
BRD-K17480742,
BRD-K59325863,"CMA1, CTSG, CYP3A4, ELANE"
BRD-K00573984,ACE
BRD-K34068325,CYP3A4
BRD-K00003468,
BRD-K00003500,
BRD-K45503887,"AGTR1, AGTR2"
BRD-K00003363,
BRD-K79107392,GLO1
BRD-K85776940,HMGCR
BRD-K90830492,KRAS
BRD-K51471001,"ACHE, BCHE"
BRD-K00003347,
BRD-K34122555,
BRD-K00004656,
BRD-K01773083,
BRD-A62562325,
BRD-K41170226,"FPR1, GPBAR1"
BRD-K24556098,NR3C2
BRD-K33151569,"ADRA1A, DRD1, DRD2"
BRD-K00005351,HRH1
BRD-K77685957,"KCNN1, KCNN3"
BRD-K68558722,PTGS2
BRD-K00003310,
BRD-K29462201,"ACE, SLC18A2"
BRD-K00003452,
BRD-K60762818,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SLC6A2, SLC6A4, SMPD1"
BRD-K00003103,
BRD-K99919177,"ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD2"
BRD-K82357231,HRH1
BRD-K00003134,
BRD-K10042277,HTR2C
BRD-K00003582,"AVPR1A, AVPR1B, AVPR2, OXTR"
BRD-K46061689,"ESR1, PGR"
BRD-K21528677,"NR3C1, PLA2G1B"
BRD-K30697463,"NR3C1, PLA2G1B"
BRD-K26024145,NR3C2
BRD-K98521173,"NR3C1, NR3C2"
BRD-K13819402,ACHE
BRD-K01825598,"SLC6A2, SLC6A3, SLC6A4"
BRD-K77597856,ADRA2A
BRD-K31238592,
BRD-K38775274,"ANXA1, NOS2, NR0B1, NR3C1, NR3C2"
BRD-K47635719,
BRD-K39462424,
BRD-K30019776,"CFTR, GRM4, GRM6, GRM7, GRM8, KCNC4, PDPK1, PIM1, PRKACA, PRKCQ, PYGL, PYGM, REG1A, RHO, SERPINB3, SMAD2, TAOK2"
BRD-K05900209,ATP4A
BRD-K07609981,CCKAR
BRD-K18423410,"ADRA2A, ADRA2B, ADRA2C"
BRD-K44309363,ADORA3
BRD-K71210479,
BRD-K07265709,"TOP2A, TOP2B"
BRD-K67117832,
BRD-K33211335,"CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SIGMAR1, SLC6A2, SLC6A4"
BRD-K00003272,
BRD-K51431759,
BRD-K82002057,GRM5
BRD-K75748943,PPARD
BRD-K00003486,
BRD-K06014311,MTNR1B
BRD-K41262162,
BRD-K69122748,IL1B
BRD-K93611241,
BRD-A52394261,"P2RY13, P2RY2"
BRD-K68502831,
BRD-A27143604,ESR2
BRD-K48247567,
BRD-K97464279,
BRD-K73109821,"ATP1A1, CA1, CA2, KCNJ11, KCNJ8, KCNMA1, SLC12A3"
BRD-K48427910,
BRD-K79145749,
BRD-K46863940,
BRD-K73477617,TRPA1
BRD-K54187111,
BRD-M97302542,
BRD-K62326629,
BRD-K23779958,
BRD-A06426627,
BRD-K08252256,"AKR1C3, ALOX5, ASIC1, ASIC3, KCNQ2, KCNQ3, PLA2G2A, PPARG, PTGS1, PTGS2, SCN4A"
BRD-K71499074,"CA1, CA12, CA2, CA4, CA7"
BRD-A51078674,"DRD1, MAOA, MAOB"
BRD-A41657926,
BRD-K05673000,
BRD-K82236179,"CRYZ, NQO1, VKORC1"
BRD-K57091285,
BRD-K68507560,"CHRM1, CHRM2, CHRM3"
BRD-K99063460,PNP
BRD-K84794093,
BRD-K94146583,RRM1
BRD-K95309561,ESR1
BRD-K50853363,PGR
BRD-K45542189,"ALOX5, PTGS1"
BRD-K45330754,"ESR1, ESR2, ESRRB, ESRRG"
BRD-K94080537,
BRD-K96206066,
BRD-A66869276,NR3C1
BRD-K73923631,
BRD-K22031190,"PTGS1, PTGS2"
BRD-K72992801,NR3C1
BRD-K80076813,
BRD-K18518344,ATP1A1
BRD-K63668566,"ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD2"
BRD-K18619710,
BRD-K00004302,ATP1A1
BRD-K20152659,"PTGS1, PTGS2"
BRD-K31471398,"DRD1, DRD2, DRD3, DRD4, DRD5"
BRD-K62213621,
BRD-K97440753,"ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A, HTR3A, HTR4, HTR5A, HTR6, HTR7"
BRD-K72166146,"ADRA2A, DRD2, HTR1B, HTR1D, HTR1E, HTR1F, HTR2B, HTR7"
BRD-K01614093,
BRD-M15413738,
BRD-A34455052,VDR
BRD-K18637542,
BRD-A20589515,"GRM1, GRM5"
BRD-K36802417,
BRD-K48722258,SLC29A1
BRD-K00003459,
BRD-K10974103,
BRD-K24023109,"CACNA1C, CACNA1S, CACNA2D1, CACNG1, HTR3A, KCNA5"
BRD-K00005337,
BRD-K23541596,"HRH2, HRH3, HRH4"
BRD-K29812331,SIGMAR1
BRD-M98649031,HRH1
BRD-A56152450,
BRD-K88701661,DNMT1
BRD-K30126819,
BRD-K43687498,
BRD-K26674746,
BRD-K83192048,HRH1
BRD-K73391359,
BRD-K31111078,KEAP1
BRD-A17224697,
BRD-K01826026,HRH1
BRD-K72728560,
BRD-K92848252,"AOC1, PRDX5, PRSS1"
BRD-K60567437,ACHE
BRD-K13662825,"CDK1, CDK2, CDK5, CDK9"
BRD-K93240442,
BRD-K81672972,"PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, TBXA2R"
BRD-K26521938,"CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, TBXA2R"
BRD-K67340225,CXCR3
BRD-K28690501,
BRD-K26862302,CYP1B1
BRD-K94436377,AHR
BRD-K22193694,
BRD-K11595419,
BRD-A30693873,
BRD-K93441486,CHRM3
BRD-K51730347,
BRD-K47278471,HRH1
BRD-K01663662,"CHRM1, CHRM2, CHRM3, CHRM4"
BRD-K65814004,"NOS2, NOS3"
BRD-K12362304,
BRD-K22936972,"HRH1, SLC6A3"
BRD-A47494775,
BRD-K64838454,GRM5
BRD-K75385383,"HTR1A, HTR2A, HTR2C"
BRD-K86301799,"ADA, PDE10A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, SLC29A1"
BRD-K47608922,
BRD-K00003514,
BRD-K52756523,
BRD-K87386013,
BRD-K66672047,HBB
BRD-A29734509,"CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2, SCN5A"
BRD-K32744045,"ALDH2, DBH"
BRD-K51807679,
BRD-K40654626,"CA1, CA2, CA4"
BRD-K33459542,"GRIN1, GRIN2A, GRIN2B, SIGMAR1"
BRD-K05919151,
BRD-K00003339,
BRD-K58930050,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D"
BRD-K23163214,
BRD-K26573499,CHRNA7
BRD-K36775483,GRM5
BRD-K39381259,ACVR1
BRD-K40575944,KDR
BRD-K03564313,
BRD-K89274813,
BRD-K54936858,MPO
BRD-A22971209,
BRD-M56212252,
BRD-K64400208,"GRIA1, GRIA2, GRIK1, GRIN1, GRIN2A, GRIN2B"
BRD-A78322124,"ADRB1, ADRB2"
BRD-K08290224,ALOX5
BRD-K30577245,"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8"
BRD-K39965020,"FFAR1, PTGS1, PTGS2"
BRD-K61937613,
BRD-K50050533,TLR7
BRD-A00092689,
BRD-K05680146,LYZ
BRD-A14941520,ABCB1
BRD-K86887724,"KCNH1, KCNH2, KCNJ12, KCNK2"
BRD-K28029915,HTR3A
BRD-K78567475,TUBB
BRD-K67463151,"CYP3A4, CYP3A5, CYP3A7, POU2F2, UGT1A1"
BRD-K30431096,
BRD-K38305202,"DRD2, DRD3"
BRD-A49160188,ACHE
BRD-K31092604,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR5A, HTR6"
BRD-K43887077,"DBH, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR7, SLC6A2, SLC6A3, SLC6A4"
BRD-K74065929,"MAPK11, MAPK12, MAPK13, MAPK14"
BRD-K00003581,
BRD-K00003231,
BRD-K45319714,DPEP1
BRD-K54233340,"ACVR1, BMPR1A, BMPR1B, EPHA2, FKBP1A, FLT1, FLT3, KDR, LCK, MKNK1, PRKAA1, RPS6KA1, SRC"
BRD-K48617017,"CA1, CA12, CA14, CA2, CA4, CA7"
BRD-K54759182,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, SLC6A2, SLC6A4"
BRD-K00004678,
BRD-K85402309,"CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB"
BRD-K01825594,
BRD-K01825125,"ADRA1A, ADRA1B, ADRA1D"
BRD-K37694030,"HRH1, SLC6A2, SLC6A4"
BRD-K82928892,VDR
BRD-K58262659,TYMS
BRD-K70507123,"ADORA1, PDE4A, PDE4B, PDE4C, PDE4D"
BRD-K92093830,TOP2A
BRD-K01825679,MMP8
BRD-A44008656,HRH1
BRD-K00004636,
BRD-K37087535,
BRD-K01824921,"ADORA1, ADORA2A, ADORA2B, ADORA3"
BRD-A64553394,ADRB2
BRD-K99922388,KCNA5
BRD-K80315159,"ABCB1, HRH1"
BRD-A67976398,"GRIN2C, GRIN2D"
BRD-K94920105,"PARP1, PARP3"
BRD-A39794701,HTR7
BRD-K25486274,CSNK1A1
BRD-A22267103,
BRD-K38477637,ESR1
BRD-A38706605,AR
BRD-K05524748,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, KCNA5, KCNH2, KCNK2, SCN1A"
BRD-K97158071,"ADRA1A, DRD2, DRD3, DRD4, HTR2A"
BRD-A29349577,
BRD-K04394237,"AR, NR3C2, PGR"
BRD-K00633793,
BRD-K17219082,PTGS1
BRD-K20372197,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH"
BRD-K11558771,"HDAC6, HDAC8"
BRD-K35498911,
BRD-K00004570,
BRD-K46384285,TLR7
BRD-K09619578,
BRD-K08859203,"ITGA2B, ITGB3"
BRD-K71103788,"HTR2A, HTR2C, HTR6, SLC6A2, SLC6A3, SLC6A4"
BRD-K06221026,PTGS2
BRD-K30373883,"SRD5A1, SRD5A2, SRD5A3"
BRD-K93468883,"PIK3CA, PIK3CB, PIK3CD, PIK3CG"
BRD-K22520627,
BRD-K00003171,
BRD-K72259270,"SCN10A, SCN5A"
BRD-K68620903,PGR
BRD-K87718015,"DNM1, DNM1L, DNM2"
BRD-K23479488,DNM1
BRD-A00827783,PDE4A
BRD-K58343622,"ESRRB, ESRRG"
BRD-A77118605,
BRD-K00004561,
BRD-K50564936,"APH1A, APH1B, PSENEN"
BRD-K41713976,"KCNH1, KCNH2"
BRD-K00004314,CTSS
BRD-K53030960,ANO1
BRD-K66998413,PARP1
BRD-K13314656,"CYP3A4, HRH1"
BRD-K00004209,AKR1B1
BRD-K22421059,HRH2
BRD-K29359156,ALB
BRD-K41705163,"HSP90AA1, HSP90AB1"
BRD-K81004638,"RARA, RARB, RARG"
BRD-K47371940,
BRD-K03353589,NOXO1
BRD-A60635434,
BRD-K00010937,
BRD-A51820102,"NPY1R, NPY2R, TRPM2, TRPV5"
BRD-K34566599,
BRD-K00004306,PPARG
BRD-K35458079,BCL2
BRD-K00003258,
BRD-K01825687,
BRD-A78588743,
BRD-K00003432,
BRD-K00003259,
BRD-K97058489,F10
BRD-K86892782,
BRD-K81128206,"ACHE, BCHE"
BRD-K54542929,
BRD-K19002914,EED
BRD-K37355418,"HBA1, HBB"
BRD-A10739734,ADORA2A
BRD-A24560335,PPARG
BRD-K40758068,"CYP1A2, CYP2B6, CYP2C19, CYP2C9, CYP2D6, CYP3A4"
BRD-A30774155,CYP51A1
BRD-K00004551,
BRD-A96292436,"ARG2, ODC1"
BRD-K55166090,
BRD-K00004292,
BRD-K00004643,
BRD-K22514639,EGFR
BRD-K65359424,"GRM2, GRM3, GRM6, GRM8"
BRD-K50653584,NRP1
BRD-K32289541,"RAC1, RAC3"
BRD-K88120876,"ADRA2A, ASIC1, PKD2L1"
BRD-K81623406,"NOS2, NOS3"
BRD-K91535048,EZH2
BRD-K00003295,
BRD-K88807631,ABCB1
BRD-K63876426,XPO1
BRD-K00004609,DCK
BRD-K03165895,"PPARA, PPARD, PPARG"
BRD-K55808645,GNRHR
BRD-K09735259,
BRD-K00003316,VDR
BRD-K00003225,
BRD-K79565391,
BRD-K82135108,HSPA1A
BRD-K30652337,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2B, HTR7"
BRD-K86410485,UGCG
BRD-K59271229,P2RY12
BRD-A61392169,"GRIN1, GRIN2B"
BRD-K30466858,"CA1, CA12, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA7, CA9, CSNK2A1, GSK3B, PRKACA, PRKCA, PRKCB, SQLE, SYK"
BRD-K50699835,BDKRB1
BRD-K00003369,
BRD-K30827431,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB2, GABRG2"
BRD-K86171477,"HTR1A, HTR1B"
BRD-K00003572,MPL
BRD-K39560679,"OPRD1, OPRK1, OPRM1"
BRD-K54472332,
BRD-K00003516,
BRD-K86727142,XIAP
BRD-K97963946,MET
BRD-K47659338,HTR6
BRD-A65248799,TNNC1
BRD-K88759641,AGTR1
BRD-K00003185,
BRD-K15010214,HRH1
BRD-K00003226,
BRD-K03067624,RPS2
BRD-K00003206,
BRD-K00003290,
BRD-K00003414,
BRD-K58685305,CSNK2A1
BRD-K90629600,
BRD-K28982731,
BRD-K53765467,"SLC5A1, SLC5A2"
BRD-K00023644,"CASP1, CASP3, CASP7"
BRD-K61452026,
BRD-K57545991,ACE
BRD-K99447003,ACE
BRD-K70601687,IDH1
BRD-K66918327,
BRD-A62197763,GABRA1
BRD-K00003576,BRAF
BRD-K61314889,"TNKS, TNKS2"
BRD-K62752296,ESR1
BRD-A51831848,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, KCNK10, KCNK18, KCNK2, KCNK3, KCNK9"
BRD-K01825690,"CYP19A1, CYP1A2, CYP2B6, CYP2C9, CYP2J2, CYP3A4, CYP3A5, NR1I2, PPARA, PTGER2"
BRD-K26425819,"AOX1, DPYD, XDH"
BRD-K00004568,
BRD-K10029415,
BRD-K68488863,"AURKA, FLT3, KDR, PDGFRA, PTK2, SRC"
BRD-K32007074,"CMPK1, RRM1, TYMS"
BRD-K78113049,TOP2A
BRD-K21152241,PDE3A
BRD-K96137854,HSD11B1
BRD-K35007173,"ADORA1, ADORA2A, ADORA2B, ADORA3, PDE4A, PDE4B"
BRD-K76534306,
BRD-K83636919,COMT
BRD-K00004610,
BRD-K08206212,
BRD-K77908580,"HDAC1, HDAC2, HDAC3, HDAC9"
BRD-K39009484,"ALK, NTRK1, NTRK2, NTRK3, ROS1"
BRD-K56851771,AR
BRD-K79404599,"AKT1, GSK3B, PRKCA, PRKCB, PRKCD, PRKCG"
BRD-K86063171,ERO1A
BRD-K42452249,"MAPK11, MAPK14"
BRD-K79450420,IDO1
BRD-K98054437,AKR1B1
BRD-K47554101,
BRD-K01825729,CYP2J2
BRD-K00003130,
BRD-K45014108,"ACHE, ADRA1A, ADRB2, SLC18A2, SLC6A2"
BRD-A54236247,"ADRA1A, ADRA2A, ADRB1, ADRB2, ATF1, ATF2, ATF3, ATF4, ATF5, ATF6, ATF7, FOS, IL2, JDP2, JUN, NFATC1, SLC6A2, SLC6A3, SLC6A4, TNF"
BRD-K03972660,G6PD
BRD-K50660797,"BACE1, FASN"
BRD-K00005352,
BRD-K27529556,
BRD-K55591206,"ELANE, EP300, FASN, KAT2B, MMP14, MMP2"
BRD-A98990573,HRH1
BRD-K63126190,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH, TNF"
BRD-K39339537,"PTGS1, PTGS2"
BRD-K04548931,"CHD1, TOP2A"
BRD-K02314383,AR
BRD-K19761926,NR3C2
BRD-A59329714,CYP7A1
BRD-K64054020,"P2RY12, PTGER1, PTGER4, PTGIR, PTGIS"
BRD-K71823332,
BRD-K48935217,TUBB
BRD-K52762805,TUBB
BRD-K42536037,TAAR1
BRD-A72212290,
BRD-K00003555,
BRD-K00003478,
BRD-K17979676,MAOA
BRD-K11463116,SAA1
BRD-K67977190,AGTR1
BRD-K68830460,"ITGA2B, ITGB3"
BRD-K26531771,DOT1L
BRD-K69070623,DOT1L
BRD-K57754230,EZH2
BRD-K87468701,EZH2
BRD-K70446295,PRMT5
BRD-K33586289,PRMT6
BRD-A88080608,HSD17B1
BRD-K54847683,"ESR1, ESR2"
BRD-K11927976,SYK
BRD-K18347943,RARA
BRD-A25004090,VDAC2
BRD-K00003240,
BRD-K35573744,EGFR
BRD-K84163249,VDR
BRD-K84868168,"FGFR1, FGFR2, FGFR3, FGFR4"
BRD-A05515753,
BRD-K56155962,VDR
BRD-K17311468,"ADRA1A, HTR1E"
BRD-K03039262,
BRD-K15380626,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, DRD1, DRD2, DRD5, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, SLC6A2"
BRD-K00003156,
BRD-K64857848,MAPK7
BRD-K70401845,"EGFR, NR1I2"
BRD-A40472231,
BRD-K80608265,"ESR1, ESR2"
BRD-K00003574,SLC5A2
BRD-K79315489,
BRD-K63550407,MLNR
BRD-K39746403,"ABCB1, ALB, CYP3A4, CYP51A1, KCNH2, MLNR, SLC47A1"
BRD-K51677086,"ABCB1, ALB, CYP3A4, CYP51A1, KCNH2, MLNR, SLC47A1"
BRD-K07549832,
BRD-K92426617,
BRD-K00003374,
BRD-K00010936,
BRD-K70301876,SLC6A4
BRD-K51742987,
BRD-K13629382,"OPRD1, OPRM1"
BRD-K77139516,"RAPGEF3, RAPGEF4"
BRD-K61237927,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
BRD-K01825842,ADRB1
BRD-K61443506,ATP4A
BRD-K00003282,
BRD-K75445017,ESR1
BRD-K18910433,"ESR1, ESR2, GPER1, KCNMA1, NR1I2"
BRD-K53319039,ESR1
BRD-K44412991,ESR1
BRD-K64984393,ESR1
BRD-K66766661,ESR1
BRD-K00004741,
BRD-A70858459,"ESR1, ESR2, MAP1A, MAP2"
BRD-K00077635,"ESR1, ESR2, MAP1A, MAP2"
BRD-K17016787,"ESR1, ESR2"
BRD-K81839095,"ESR1, ESR2"
BRD-K51095933,"ESR1, ESR2"
BRD-K63630713,"ATP1A1, SLC12A1"
BRD-K84971356,
BRD-K71055333,
BRD-K96042922,
BRD-K64755930,"GABRB3, PDE4A"
BRD-K54264768,PORCN
BRD-K00003115,
BRD-K24443618,
BRD-K64834129,
BRD-K10667240,
BRD-K24715592,
BRD-K93231391,
BRD-K38055836,
BRD-M75061779,"F12, FABP4, FFAR1, FFAR4, PLD2"
BRD-K36756879,
BRD-K88308881,
BRD-K19672466,
BRD-K48195008,"ESR1, ESR2, NR1I2"
BRD-K33710385,
BRD-K03981224,TYR
BRD-K02475039,
BRD-A99633051,"CACNA1G, CACNA1H, CACNA1I"
BRD-A30205217,SCN5A
BRD-K56792340,
BRD-K18131774,"CA1, CA12, CA13, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA7, CA9"
BRD-K02464583,
BRD-K47738867,
BRD-K82104468,
BRD-K21892374,
BRD-K82603084,
BRD-A68509429,
BRD-K46331928,"ESR1, PGR"
BRD-K00003207,
BRD-K50417881,"DRD2, DRD3, DRD4"
BRD-K37949327,"ATP6V1A, PTPRS"
BRD-K63979671,
BRD-K01826330,"GABRA1, GABRA2, GABRA3, GABRA5"
BRD-A09925278,"ADRA1A, ADRB1"
BRD-K90982969,DRD3
BRD-K68232413,GABRA1
BRD-A74667430,PTGS2
BRD-K73541271,"PTGS1, PTGS2"
BRD-K49338325,PPARA
BRD-K83064458,ADORA1
BRD-K49840922,PPARA
BRD-K55055802,"ADRA2B, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ"
BRD-K32405725,CPT1A
BRD-K00003655,"ESR1, PGR"
BRD-K37798499,"TOP2A, TOP2B"
BRD-K72533376,TOP2A
BRD-K54770957,PTGS2
BRD-K60914966,
BRD-K51364817,
BRD-K15858023,"PIK3CA, PIK3CB, PIK3CD, PIK3CG"
BRD-K24556407,
BRD-K00004658,
BRD-K00003139,
BRD-K74717603,"CYP2C19, CYP2C9, CYP3A4"
BRD-K49076555,"RARA, RXRG"
BRD-K29996876,ACHE
BRD-A37942872,
BRD-K32977963,AR
BRD-K19741031,"APP, SOD2"
BRD-K47031502,
BRD-K16551357,CETP
BRD-K24548560,"GRIA1, PTPN1"
BRD-K11452913,"PTGER2, PTGER4"
BRD-K00004688,
BRD-K13514097,MTOR
BRD-K00003405,
BRD-K00003250,
BRD-A68631409,TRPV1
BRD-K71603915,CHRNA7
BRD-K68395654,
BRD-K74396648,"ACVR1B, TGFBR1"
BRD-A73908300,SIRT1
BRD-K12609457,
BRD-K35304636,"GHRHR, GHSR"
BRD-K92150287,TOP1
BRD-K33425534,CYP19A1
BRD-K00003559,GLP1R
BRD-K81795818,CDH2
BRD-K65716359,TYR
BRD-K37708699,PDE5A
BRD-K96155658,TNKS
BRD-K78633253,
BRD-K98963219,GSTP1
BRD-K42260897,"ANPEP, NPC1L1, SOAT1"
BRD-K25570267,UTRN
BRD-K00004649,
BRD-K00003449,
BRD-K05444225,"PARP1, PARP2, TNKS, TNKS2"
BRD-K00003172,
BRD-K87948281,HTR1A
BRD-K00003299,
BRD-A25619068,"CYP11B1, CYP19A1"
BRD-K61536264,GLB1
BRD-K08251020,VDR
BRD-K45033733,
BRD-K00673382,HRH2
BRD-A08255417,
BRD-K08998509,HTR2A
BRD-K60798049,
BRD-K00003465,
BRD-K00003507,
BRD-K14590126,HRAS
BRD-A49622760,
BRD-K59045783,
BRD-K00004571,
BRD-K76617868,"PKIA, PRKACA, ROCK1, ROCK2"
BRD-K04264130,
BRD-K00004537,
BRD-K18157228,
